Date,Description,Amount,Type,Reference
01/08/2026,Monthly Salary from Tech Solutions Ghana,6500.00,Income,TXN100291
02/08/2026,Cash Out at MTN Agent Osu,400.00,Expense,TXN100292
03/08/2026,Payment to Auntie Muni Waakye,35.00,Expense,TXN100293
04/08/2026,Trotro Fare Circle to Kaneshie,14.00,Expense,TXN100294
05/08/2026,ECG Prepaid Electricity Token,180.00,Expense,TXN100295
07/08/2026,MTN 10GB Data Bundle Purchase,65.00,Expense,TXN100296
08/08/2026,Transfer from Sister Joyce,350.00,Income,TXN100297
09/08/2026,Fuel Goil Filling Station,250.00,Expense,TXN100298
10/08/2026,KFC Fast Food Spintex Road,75.00,Expense,TXN100299
11/08/2026,Weekly Susu Savings Contribution,150.00,Expense,TXN100300
12/08/2026,Remittance via TapTap Send UK,1800.00,Income,TXN100301
13/08/2026,Barbershop Haircut and Beard,60.00,Expense,TXN100302
14/08/2026,Bolt ride to Kotoka Airport,55.00,Expense,TXN100303
15/08/2026,Emergency Taxi Charter to Kumasi,1200.00,Expense,TXN100304
