Date,Details,Amount,Type,Account,Category
01/08/2026,Morning In-Store Boutique Sales,950.00,Income,Shop Cash Till,Business Income
02/08/2026,Restock Wholesale Clothing Makola Market,1850.00,Expense,Shop Cash Till,Inventory/Supplies
03/08/2026,Dispatch Rider Delivery Fee to Tema,45.00,Expense,MTN MoMo,Logistics/Delivery
04/08/2026,Online Instagram Sponsored Ad,140.00,Expense,GCB Main Account,Marketing
05/08/2026,Customer MoMo Payment for Evening Gown,650.00,Income,MTN MoMo,Business Income
06/08/2026,Shop Assistant Weekly Allowance,200.00,Expense,Shop Cash Till,Salary
07/08/2026,Packaging Boxes and Shopping Bags,180.00,Expense,Shop Cash Till,Inventory/Supplies
08/08/2026,Saturday Mega Pop-up Sales Revenue,2400.00,Income,Shop Cash Till,Business Income
09/08/2026,Airtime for Business MoMo Phone,30.00,Expense,MTN MoMo,MoMo/Airtime
10/08/2026,Electricity Token for Shop Air Conditioner,220.00,Expense,MTN MoMo,Bills
